Version,Release Date,Release Notes
2.14.6,2019-03-29,`2.14.6 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.14.6_Release_Notes>`_
2.14.5,2018-12-07,`2.14.5 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.14.5_Release_Notes>`_
2.14.4,2018-10-19,`2.14.4 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.14.4_Release_Notes>`_
2.14.3,2018-08-24,`2.14.3 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.14.3_Release_Notes>`_
2.14.2,2018-07-13,`2.14.2 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.14.2_Release_Notes>`_
2.14.1,2018-06-01,`2.14.1 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.14.1_Release_Notes>`_
2.14.0,2018-04-20,`2.14.0 Release Notes <https://github.com/xcat2/xcat-core/wiki/XCAT_2.14_Release_Notes>`_
